AgeGroup,Metric,Layer,Beta_Age,p_Age,Beta_logVol,p_logVol,p_Age_FDR,p_logVol_FDR
>=50,R2s,Outer1,-0.35446135412733165,0.043285147620491196,-0.17063683406802238,0.03387519543457111,0.0944403220810717,0.0612178105853038
>=50,R2s,Outer2,-0.5636952933113064,0.0017117371073340018,-0.10188046984819411,0.21183910038144896,0.0045646322862240045,0.28245213384193196
>=50,R2s,Outer3,-0.6184362383345751,0.0003034814454135956,-0.1633487552699719,0.035506192999057565,0.0009932120031717674,0.0612178105853038
>=50,R2s,Outer4,-0.634747789021879,0.00013517958905886955,-0.18844567945316856,0.01255218451971195,0.0004866465206119304,0.027023410218860327
>=50,R2s,Outer5,-0.6577112558060808,0.00010438012952394956,-0.16508499063662035,0.03150310655960317,0.0003955457539854931,0.05969009663924812
>=50,ISOVF,Center,0.586980246750339,0.08796785956303134,0.32624824997368285,0.16685607616539136,0.17118069969022318,0.23103149007515728
>=50,ISOVF,Inner2,0.054582775179337795,0.7679307467354093,0.32221284220201507,0.0014023254024023379,0.8776351391261821,0.004206976207207014
>=50,ISOVF,Inner1,0.3595738040566827,0.020085488208839913,0.10536808836586094,0.13758903409619677,0.046650166162466894,0.19812820909852336
>=50,ISOVF,Outer1,0.42564467577953424,0.0055206914360469185,-0.11293813665730845,0.10773490510622737,0.014196063692692076,0.16504070569464618
>=50,ISOVF,Outer2,0.5728899221333597,0.000201688539949346,-0.265992422465462,0.00017939569381170863,0.0006915035655406148,0.0008072806221526889
>=50,ISOVF,Outer3,0.6897062269187861,9.836707527067794e-06,-0.3273641124109776,5.3647465265898365e-06,4.1661349526404774e-05,3.218847915953902e-05
>=50,ISOVF,Outer4,0.7870913747116715,9.412107193623766e-07,-0.3647929273322643,8.089204994401662e-07,5.64726431617426e-06,7.280284494961496e-06
>=50,ISOVF,Outer5,0.8385238907514108,4.059413887779165e-07,-0.36149697939847586,1.9392473668479334e-06,3.247531110223332e-06,1.5513978934783467e-05
>=50,ICVF,Center,0.49723675882628754,0.13599000677868503,-0.8378283737456944,0.00037637252031276724,0.23312572590631717,0.0014262537611852233
>=50,ICVF,Inner2,0.3799983032179417,0.1046497404911533,-0.3289705688890425,0.009438282763157817,0.19319952090674458,0.02123613621710509
>=50,ICVF,Inner1,0.2726438373406404,0.13426971992309494,-0.12620567583551734,0.1322858292471677,0.23312572590631717,0.19437917766930762
>=50,ICVF,Outer1,0.1005170718305697,0.5637736690074537,0.2130896346366552,0.008372209158559555,0.7516982253432717,0.019445130948912513
>=50,ICVF,Outer2,-0.03947505003729411,0.829044329495805,0.3224655568183101,0.00016526810705012822,0.8778116429955583,0.0007932869138406154
>=50,ICVF,Outer3,-0.17926874755082345,0.37266717042389774,0.2565269331389285,0.005992604098633636,0.5366407254104127,0.01487818948626282
>=50,ICVF,Outer4,-0.2444858105775649,0.2629154623139492,0.1065346374455462,0.2893880106581204,0.4027641124809434,0.3720702994175834
>=50,ICVF,Outer5,-0.273636598816267,0.2267007241237587,-0.06637473766271489,0.5237758731724382,0.35483591601979625,0.6082558527163798
>=50,OD,Center,-0.09227492102623579,0.7841701990040779,-0.6742904952931948,0.004360671709518628,0.8777206466493306,0.011213155824476472
>=50,OD,Inner2,-0.022437439186222204,0.9250910437890542,-0.24308055966637887,0.05962848914302405,0.9250910437890542,0.09540558262883848
>=50,OD,Inner1,0.026656463016568977,0.8721756158175631,-0.1860461581732035,0.015444459696928177,0.8970949191266363,0.030888919393856355
>=50,OD,Outer1,-0.10237444642617888,0.5113381733579361,-0.1399879633576816,0.05208274652803682,0.6946480845617244,0.08720831976787562
>=50,OD,Outer2,-0.23798931543895782,0.11348122733236389,0.019914106789064145,0.7730416400254938,0.204266209198255,0.7951285440262222
>=50,OD,Outer3,-0.29969658825183576,0.05114496517991057,0.23289593344953313,0.0010965418541870257,0.10830698508686945,0.0034941310649546824
>=50,OD,Outer4,-0.2951267829717013,0.05941506876635612,0.37535747651792206,3.949581114838788e-07,0.11883013753271224,4.739497337806546e-06
>=50,OD,Outer5,-0.26785937916465263,0.09194850098752014,0.4316743193555054,1.241890732602095e-08,0.17421821239740656,2.235403318683771e-07
>=50,MD,Center,-0.07419129022438667,0.8252701840415972,0.729153085846674,0.00207269724180881,0.8778116429955583,0.005969368056409373
>=50,MD,Inner2,-0.19024416953440768,0.4020755765953581,0.44715551760768135,0.00031642554914406513,0.5676361081346232,0.0013401552669630994
>=50,MD,Inner1,0.23776369057320115,0.22406452180699013,0.13927613172633943,0.1223913529192406,0.35483591601979625,0.1835870293788609
>=50,MD,Outer1,0.3781782352615074,0.05507247618073164,-0.29835153924199914,0.0011161807568605235,0.11329195100036223,0.0034941310649546824
>=50,MD,Outer2,0.5935884773108667,0.0013071285529159078,-0.5270763443727481,1.8527316770910646e-09,0.0037645302323978144,6.669834037527833e-08
>=50,MD,Outer3,0.7534729019204821,3.817099099506805e-05,-0.5391627558754947,4.556733860197987e-10,0.0001526839639802722,3.2808483793425506e-08
>=50,MD,Outer4,0.8827777298005698,3.4295023931570073e-06,-0.4926018594961157,2.6449094133252673e-08,1.5432760769206533e-05,3.8086695551883845e-07
